Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00       2/2           std::_Vector_base<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::_Vector_base(unsigned long, std::allocator<PsCourseworkI::Cell> const&) [74]
-----------------------------------------------
                0.13    0.17      13/13          main [1]
[8]      0.4    0.13    0.17      13         PsCourseworkI::LandscapePpmWriter::Write(std::string const&) [8]
                0.09    0.00 8320000/8320000     PsCourseworkI::PpmFile::WritePixel(PsCourseworkI::Pixel const&) [9]
                0.04    0.01 8320000/8320000     PsCourseworkI::Array2D<PsCourseworkI::Cell>::operator()(unsigned int, unsigned int) const [11]
                0.03    0.00 8320000/8320000     PsCourseworkI::Pixel::Pixel(unsigned char, unsigned char, unsigned char) [12]
                0.00    0.00      13/13          PsCourseworkI::Landscape::GetArray() const [41]
                0.00    0.00      13/15          PsCourseworkI::Array2D<PsCourseworkI::Cell>::GetSize() const [37]
                0.00    0.00      13/18          PsCourseworkI::Size::Size(unsigned int, unsigned int) [36]
                0.00    0.00      13/13          PsCourseworkI::PpmFile::PpmFile(std::string const&, PsCourseworkI::Size const&, unsigned int) [39]
                0.00    0.00      13/13          PsCourseworkI::PpmFile::Finalise() [38]
                0.00    0.00      13/13          PsCourseworkI::PpmFile::~PpmFile() [40]
-----------------------------------------------
                0.09    0.00 8320000/8320000     PsCourseworkI::LandscapePpmWriter::Write(std::string const&) [8]
[9]      0.1    0.09    0.00 8320000         PsCourseworkI::PpmFile::WritePixel(PsCourseworkI::Pixel const&) [9]
-----------------------------------------------
                0.04    0.02       1/1           main [1]
[10]     0.1    0.04    0.02       1         PsCourseworkI::Landscape::ApplyRandomPumas(double) [10]
                0.01    0.01 2560000/4806406416     PsCourseworkI::Array2D<PsCourseworkI::Cell>::operator()(unsigned int, unsigned int) [3]
-----------------------------------------------
                0.04    0.01 8320000/8320000     PsCourseworkI::LandscapePpmWriter::Write(std::string const&) [8]
[11]     0.1    0.04    0.01 8320000         PsCourseworkI::Array2D<PsCourseworkI::Cell>::operator()(unsigned int, unsigned int) const [11]
                0.01    0.00 8320000/8320000     std::vector<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::operator[](unsigned long) const [22]
-----------------------------------------------
                0.03    0.00 8320000/8320000     PsCourseworkI::LandscapePpmWriter::Write(std::string const&) [8]
[12]     0.0    0.03    0.00 8320000         PsCourseworkI::Pixel::Pixel(unsigned char, unsigned char, unsigned char) [12]
-----------------------------------------------
                0.01    0.02       2/2           void std::uninitialized_fill_n<PsCourseworkI::Cell*, unsigned long, PsCourseworkI::Cell>(PsCourseworkI::Cell*, unsigned long, PsCourseworkI::Cell const&) [15]
