Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
-----------------------------------------------
                0.02    0.07 8320000/8320000     PsCourseworkI::LandscapePpmWriter::Write(std::string const&) [8]
[10]     0.1    0.02    0.07 8320000         PsCourseworkI::Array2D<PsCourseworkI::Cell>::operator()(unsigned int, unsigned int) const [10]
                0.07    0.00 8320000/8320000     std::vector<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::operator[](unsigned long) const [11]
-----------------------------------------------
                0.07    0.00 8320000/8320000     PsCourseworkI::Array2D<PsCourseworkI::Cell>::operator()(unsigned int, unsigned int) const [10]
[11]     0.1    0.07    0.00 8320000         std::vector<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::operator[](unsigned long) const [11]
-----------------------------------------------
                0.04    0.02       1/1           main [1]
[12]     0.1    0.04    0.02       1         PsCourseworkI::Landscape::ApplyRandomHares(double) [12]
                0.01    0.01 2560000/4806406416     PsCourseworkI::Array2D<PsCourseworkI::Cell>::operator()(unsigned int, unsigned int) [3]
-----------------------------------------------
                0.02    0.02       1/1           main [1]
[13]     0.0    0.02    0.02       1         PsCourseworkI::Landscape::ApplyRandomPumas(double) [13]
                0.01    0.01 2560000/4806406416     PsCourseworkI::Array2D<PsCourseworkI::Cell>::operator()(unsigned int, unsigned int) [3]
-----------------------------------------------
